2018_rank,name,2018_net_worth,age,2018_source,2018_country,2018_industry,founder,some_wealth_inheritance,major_wealth_inheritance,ethnicity,misc
272,marie-hélène habert,6,54,diversified,france,,,,,,
272,bertil hult,6,78,education,sweden,,,,,,
272,richard lefrak,6,73,real estate,united states,real estate,no,yes,no,white,jewish
272,richard liu,6,45,e-commerce,china,,,,,,
272,marijke mars,6,54,candy,pet food,united states,food,no,yes,yes,white
272,pamela mars,6,58,candy,pet food,united states,food,no,yes,yes,white
272,valerie mars,6,60,candy,pet food,united states,food,no,yes,yes,white
272,victoria mars,6,62,candy,pet food,united states,food,no,yes,yes,white
272,jim pattison,6,90,diversified,canada,,,,,,
272,steven rales,6,68,manufacturing,united states,heavy industry,no,no,yes,white,
272,reinhold schmieding,6,64,medical devices,united states,healthcare,yes,no,no,white,
272,tsai eng-meng,6,62,food,beverages,taiwan,,,,,
290,dannine avara,5.9,55,pipelines,united states,heavy industry,no,yes,yes,white,
290,scott duncan,5.9,36,pipelines,united states,heavy industry,no,yes,yes,white,
290,milane frantz,5.9,49,pipelines,united states,heavy industry,no,yes,yes,white,
290,savitri jindal,5.9,69,steel,india,,,,,,
290,aiyawatt srivaddhanaprabha,5.9,34,duty-free,thailand,,,,,,
290,dennis washington,5.9,84,construction,mining,united states,heavy industry,no,yes,yes,white
290,randa williams,5.9,57,pipelines,united states,heavy industry,no,yes,yes,white,
290,hansjoerg wyss,5.9,84,medical devices,switzerland,,,,,,
298,chan laiwa,5.8,78,real estate,china,,,,,,
298,david cheriton,5.8,68,google,canada,,,,,,
298,travis kalanick,5.8,42,uber,united states,software,yes,no,no,white,
298,ronda stryker,5.8,65,medical equipment,united states,healthcare,no,yes,yes,white,
298,xu hang,5.8,53,medical devices,china,,,,,,
303,james dyson,5.7,72,vacuums,united kingdom,,,,,,
303,nancy walton laurie,5.7,68,walmart,united states,retail,no,yes,yes,white,
303,liu yonghao,5.7,67,agribusiness,china,,,,,,
303,margarita louis-dreyfus,5.7,57,commodities,switzerland,,,,,,
303,john morris,5.7,71,sporting goods retail,united states,retail,yes,no,no,white,
303,carrie perrodo,5.7,68,oil,france,,,,,,
303,stef wertheimer,5.7,93,metalworking tools,israel,,,,,,
303,zhang bangxin,5.7,39,after-school tutoring,china,,,,,,
311,maria asuncion aramburuzabala,5.6,56,beer,investments,mexico,,,,,
311,cai kui,5.6,56,real estate,china,,,,,,
311,jim davis,5.6,76,new balance,united states,fashion,yes,no,no,white,basically started new balance
311,kwee brothers,5.6,-,real estate,singapore,,,,,,
311,whitney macmillan,5.6,89,cargill,united states,heavy industry,no,yes,yes,white,
311,stewart resnick,5.6,-,agriculture,water,united states,heavy industry,no,no,no,white
317,charles dolan,5.5,92,cable television,united states,television,yes,no,no,white,
317,laurence graff,5.5,81,diamond jewelry,united kingdom,,,,,,
317,henry kravis,5.5,75,private equity,united states,investment,yes,no,no,white,jewish
317,li xiting,5.5,68,medical devices,china,,,,,,
317,george roberts,5.5,75,private equity,united states,investment,yes,no,no,white,jewish
317,johann rupert,5.5,69,luxury goods,south africa,,,,,,
317,manuel villar,5.5,69,real estate,philippines,,,,,,
317,sam zell,5.5,77,real estate,private equity,united states,real estate,no,no,no,white
325,antonia ax:son johnson,5.4,75,diversified,sweden,,,,,,
325,pierre bellon,5.4,89,food services,france,,,,,,
325,andrew forrest,5.4,57,mining,australia,,,,,,
325,law kar po,5.4,70,real estate,hong kong,,,,,,
325,lee shin cheng,5.4,80,palm oil,property,malaysia,,,,,
325,niels peter louis-hansen,5.4,71,medical devices,denmark,,,,,,
325,george lucas,5.4,75,star wars,united states,media,yes,no,no,white,
325,edward roski,jr,5.4,80,real estate,united states,real estate,no,no,no,white
325,frank wang,5.4,38,drones,china,,,,,,
334,robert rowling,5.3,65,hotels,investments,united states,hotels,no,yes,no,white
334,aloys wobben,5.3,67,wind turbines,germany,,,,,,
334,yan zhi,5.3,47,real estate,china,,,,,,
337,pyotr aven,5.2,64,oil,banking,telecom,russia,,,,
337,benu gopal bangur,5.2,88,cement,india,,,,,,
337,bruce kovner,5.2,74,hedge funds,united states,investment,no,no,no,white,jewish
337,bernard marcus,5.2,90,home depot,united states,retail,yes,no,no,white,jewish
337,andrei skoch,5.2,53,steel,russia,,,,,,
337,sheldon solow,5.2,90,real estate,united states,real estate,no,no,no,white,jewish
343,majid al futtaim,5.1,-,real estate,retail,united arab emirates,,,,,
